Nome,Código do Usuário,Email,Senha,Nível de Acesso

Admin,1001,admin@.com,admin,administrador
Admin1,1002,admin1@example.com,admin1,administrador
Admin2,1003,admin2@example.com,admin2,administrador
Admin3,1004,admin3@example.com,admin3,administrador
Admin4,1005,admin4@example.com,admin4,administrador
Admin5,1006,admin5@example.com,admin5,administrador
Admin6,1007,admin6@example.com,admin6,administrador
Admin7,1008,admin7@example.com,admin7,administrador
Admin8,1009,admin8@example.com,admin8,administrador
Admin9,1010,admin9@example.com,admin9,administrador
Admin10,1011,admin10@example.com,admin10,administrador
Admin11,1012,admin11@example.com,admin11,administrador
Admin12,1013,admin12@example.com,admin12,administrador
Admin13,1014,admin13@example.com,admin13,administrador
Admin14,1015,admin14@example.com,admin14,administrador
Admin15,1016,admin15@example.com,admin15,administrador
