Nome,Código do Usuário,Email,Senha,Nível de Acesso

Carlos,1004,carlos@.com,carlos,professor
Joao,1005,joao@usp.br,123
Maria,1006,maria@usp.br,senha123,professor
Ana,1007,ana@usp.br,senha456,professor
Pedro,1008,pedro@usp.br,senha789,professor
Joana,1009,joana@usp.br,senha101,professor
Marcos,1010,marcos@usp.br,senha102,professor
Fernanda,1011,fernanda@usp.br,senha103,professor
Ricardo,1012,ricardo@usp.br,senha104,professor
Beatriz,1013,beatriz@usp.br,senha105,professor
Lucas,1014,lucas@usp.br,senha106,professor
Juliana,1015,juliana@usp.br,senha107,professor
Gustavo,1016,gustavo@usp.br,senha108,professor
Patricia,1017,patricia@usp.br,senha109,professor
Felipe,1018,felipe@usp.br,senha110,professor
Larissa,1019,larissa@usp.br,senha111,professor
Rafael,1020,rafael@usp.br,senha112,professor
Camila,1021,camila@usp.br,senha113,professor
Renato,1022,renato@usp.br,senha114,professor
Vanessa,1023,vanessa@usp.br,senha115,professor
